Stock,Headlines,Positive,Neutral,Negative,Net_Sentiment
HINDUNILVR,18,0.3773643450402523,0.332439003649657,0.2901966612506073,0.08716768378964501
UPL,0,0.0,0.0,0.0,0.0
ADANIGREEN,9,0.22220493346002015,0.5065037743451563,0.27129129043574335,-0.049086356975723194
JSWSTEEL,22,0.08853677997092607,0.721849376343195,0.18961384493781983,-0.10107706496689375
WIPRO,70,0.3671760661066137,0.15616929840316784,0.47665463147046255,-0.10947856536384887
NESTLEIND,18,0.16060449824833023,0.5626811538777916,0.2767143680117645,-0.11610986976343429
HDFCLIFE,17,0.17267770920742503,0.4738526360291844,0.3534696632927976,-0.18079195408537257
INDUSINDBK,10,0.2998808081364298,0.20982120312781943,0.4902979715545882,-0.1904171634181584
TECHM,56,0.2038849121277279,0.38296851439225094,0.413146573911134,-0.2092616617834061
DRREDDY,100,0.2814910110202569,0.1920899455374743,0.5264190473400174,-0.2449280363197605
COALINDIA,37,0.27403382636985707,0.2067769467227749,0.5191892171406526,-0.2451553907707955
TATASTEEL,19,0.1418534924642577,0.4461584219911961,0.41198806815288785,-0.27013457568863014
SBILIFE,23,0.0848385547620537,0.5545101885859516,0.3606512708103404,-0.27581271604828667
ULTRACEMCO,47,0.08852604596631,0.517643919160241,0.39383004042063025,-0.3053039944543202
EICHERMOT,10,0.09506688039334935,0.5025123906712686,0.40242075788289416,-0.3073538774895448
GRASIM,62,0.03239162733292635,0.614828383493133,0.3527800046233001,-0.3203883772903738
LT,100,0.020038288894061996,0.6298515450661688,0.35011016375182263,-0.3300718748577606
ASIANPAINT,19,0.107972698583263,0.4205929631523274,0.4714343250651377,-0.36346162648187474
HINDALCO,89,0.033430820682988416,0.5695317274414718,0.39703745538528984,-0.3636066347023014
POWERGRID,34,5.374850929085184e-05,0.6315842973760167,0.368361941609678,-0.36830819310038715
AXISBANK,27,0.15766551336470672,0.31632659034524574,0.5260078859767199,-0.3683423726120132
CIPLA,60,0.0679120791596805,0.4835495738112581,0.4485383578164345,-0.38062627865675397
INFY,52,0.10766865678053907,0.3982734414886044,0.49405790456249193,-0.3863892477819529
TATAMOTORS,46,0.19378335923084763,0.21898208263838911,0.5872345503576066,-0.39345119112675897
SBIN,21,0.0979998749650699,0.4015244509398274,0.5004756880518222,-0.4024758130867523
ICICIBANK,30,0.14193661293802468,0.29309594575946457,0.5649674384796258,-0.42303082554160115
BPCL,52,0.03020246614018446,0.5037428120045062,0.46605472150501787,-0.4358522553648334
BAJAJ-AUTO,62,0.07638816769408636,0.3820194252389447,0.5415924071723414,-0.465204239478255
TITAN,100,0.02996057258877126,0.47477413975429267,0.4952652886041815,-0.46530471601541024
TCS,100,0.11800431570368311,0.2961924329564705,0.5858032563434018,-0.4677989406397187
ITC,67,0.007932628769572875,0.5143559839374574,0.47771139118236666,-0.4697787624127938
KOTAKBANK,64,0.11823802081235724,0.2772722137399082,0.6044897661698105,-0.4862517453574533
ADANIPORTS,21,0.00032151625404547567,0.5129857224663154,0.4866927705857542,-0.48637125433170875
HCLTECH,100,0.011466564545411385,0.4656790232872033,0.5228544167048917,-0.5113878521594803
BAJAJFINSV,9,0.1301498721860873,0.22830120715355426,0.6415489209502994,-0.511399048764212
HEROMOTOCO,10,0.20035566356468734,0.0818779510633469,0.7177663953792944,-0.5174107318146071
DIVISLAB,13,0.006318969278566669,0.45645446136496004,0.5372265573126357,-0.530907588034069
SUNPHARMA,40,0.09142553848105495,0.2794656365146667,0.6291088369493354,-0.5376832984682804
BRITANNIA,44,0.03911798630520704,0.37345454934719735,0.5874274683194384,-0.5483094820142314
RELIANCE,100,0.01071289347362741,0.40524473459031735,0.5840423699599007,-0.5733294764862733
HDFCBANK,34,0.0495021542717235,0.3203344384532579,0.630163422188171,-0.5806612679164476
NTPC,49,0.08119529161925138,0.2460451630479595,0.6727595492826222,-0.5915642576633708
ONGC,79,0.04264084349792173,0.3170050587215179,0.6403540962043557,-0.5977132527064339
M&M,60,0.006403110062412274,0.3707789034664032,0.6228179945051587,-0.6164148844427465
SHRIRAMFIN,21,0.04766031218970437,0.2801495043484416,0.6721901868038506,-0.6245298746141462
BAJFINANCE,19,0.05714290608012823,0.21572807399625626,0.7271290234916558,-0.6699861174115276
MARUTI,60,0.018888288875880656,0.24416229084113575,0.7369494148190123,-0.7180611259431317
BHARTIARTL,20,0.10006983845674,0.058334166281663616,0.841595994674968,-0.741526156218228
ADANIENT,20,0.050610095726227655,0.04893136904383653,0.9004585481065319,-0.8498484523803043
