symbol,mean_sentiment,articles
HINDALCO,0.00922592,70
NESTLEIND,-7.495699e-09,1
TECHM,-0.01156944,11
INFY,-0.13787909,16
WIPRO,-0.14025527,100
HCLTECH,-0.15273726,83
NTPC,-0.17563188,100
TCS,-0.24856776,100
GRASIM,-0.26518118,17
ITC,-0.3019968,100
EICHERMOT,-0.3034507,1
MARUTI,-0.33383197,80
HDFCBANK,-0.3607082,3
POWERGRID,-0.37028134,6
ONGC,-0.38290557,93
RELIANCE,-0.4568112,99
HINDUNILVR,-0.4992642,2
COALINDIA,-0.55428094,4
KOTAKBANK,-0.651631,1
AXISBANK,-0.66631186,3
LT,-0.8340097,99
SBIN,-0.9126181,15
JSWSTEEL,-0.9999911,1
