symbol,total_days,anomalies_detected,avg_anomaly_score,max_anomaly_score,high_risk_days,price_anomaly_score
MAXHEALTH,1287,128,0.21989444928950017,1.0,128,0.41779460955262987
EICHERMOT,1935,193,0.2172759082707134,1.0,193,0.41683284392844044
COALINDIA,1935,193,0.21084530175158156,1.0,193,0.4142606013207877
INDIGO,1935,193,0.20978646118491612,1.0,193,0.41383706509412144
HCLTECH,1935,193,0.2094111267821262,1.0,193,0.4136869313330055
JIOFIN,539,53,0.20883863507043302,1.0,53,0.4130345263843884
TATASTEEL,1935,193,0.20749515738833724,1.0,193,0.4129205435754899
WIPRO,1935,193,0.20594748495894538,1.0,193,0.41230147460373323
HINDALCO,1935,193,0.20381871059688572,1.0,193,0.4114499648589093
BHARTIARTL,1935,193,0.2003134430659813,1.0,193,0.4100478578465475
TRENT,1935,193,0.19940685366092006,1.0,193,0.40968522208452307
BEL,1935,193,0.19863229409529418,1.0,193,0.40937539825827274
SUNPHARMA,1935,193,0.19674049310478517,1.0,193,0.40861867786206907
GRASIM,1935,193,0.1944842105966848,1.0,193,0.407716164858829
NESTLEIND,1935,193,0.19251063528358286,1.0,193,0.4069267347335882
TITAN,1935,193,0.19199731039704956,1.0,193,0.4067214047789749
HINDUNILVR,1935,193,0.1912879482458814,1.0,193,0.40643765991850755
SHRIRAMFIN,1935,193,0.18609244269650135,1.0,193,0.4043594576987556
ONGC,1935,193,0.1859365093387242,1.0,193,0.4042970843556447
ULTRACEMCO,1935,193,0.18578065466499022,1.0,193,0.4042347424861511
POWERGRID,1935,193,0.18489547712951426,1.0,193,0.4038806714719607
TATACONSUM,1935,193,0.18445204555793684,1.0,193,0.4037032988433298
RELIANCE,1935,193,0.1819315585288439,1.0,193,0.4026951040316926
TCS,1935,193,0.18153173973341863,1.0,193,0.40253517651352244
JSWSTEEL,1935,193,0.18057628614226487,1.0,193,0.4021529950770609
INFY,1935,193,0.18013915823003548,1.0,193,0.40197814391216924
AXISBANK,1935,193,0.1799474510175371,1.0,193,0.40190146102716984
DRREDDY,1935,193,0.17979427285232966,1.0,193,0.40184018976108693
MARUTI,1935,193,0.17910240009460243,1.0,193,0.401563440657996
CIPLA,1935,193,0.17884466734808072,1.0,193,0.4014603475593873
TECHM,1935,193,0.1771292295839833,1.0,193,0.40077417245374836
HDFCBANK,1935,193,0.17621965639634196,1.0,193,0.40041034317869184
SBIN,1935,193,0.17591746356219512,1.0,193,0.4002894660450331
ITC,1935,193,0.17590094355641636,1.0,193,0.40028285804272157
NTPC,1935,193,0.17505982888202481,1.0,193,0.399946412172965
ADANIPORTS,1935,193,0.17492709309874238,1.0,193,0.399893317859652
BAJAJFINSV,1935,193,0.1747230301646844,1.0,193,0.3998116926860288
TATAMOTORS,1934,193,0.1746460976903048,1.0,193,0.3997963915063184
ICICIBANK,1935,193,0.1719619167030311,1.0,193,0.3987072473013674
LT,1935,193,0.17115311578010645,1.0,193,0.3983837269321976
BAJFINANCE,1935,193,0.1682093903277592,1.0,193,0.39720623675125866
KOTAKBANK,1935,193,0.16811432100753745,1.0,193,0.39716820902316996
ADANIENT,1935,193,0.1660375714237422,1.0,193,0.39633750918965194
SBILIFE,1935,193,0.16493535949030827,1.0,193,0.3958966244162784
