Stock,TranAD_Score,GraphSAGE_Anomaly,MTAD_Anomaly,Net_Sentiment,TRANAD_Scaled,GraphSAGE_Scaled,MTAD_Scaled,FinBERT_Risk,Suspicious_Score
BHARTIARTL,0.5063089479625847,0.6330161068849309,0.098254012400781,-0.741526156218228,0.5340909090909091,0.6330161068849309,0.6983603304554644,0.8843965520115339,0.6606488813868747
BAJFINANCE,0.5063089479625847,0.8672014746565907,0.0667222285111403,-0.6699861174115276,0.5340909090909091,0.8672014746565907,0.4742417781545436,0.8080477720437521,0.6405073406443462
SHRIRAMFIN,0.5063089479625847,0.6852433309449851,0.0691355676045199,-0.6245298746141462,0.5340909090909091,0.6852433309449851,0.49139507546599537,0.7595360751340451,0.5928870393734244
HDFCBANK,0.5063089479625847,0.6702318895505781,0.0734830606528609,-0.5806612679164476,0.5340909090909091,0.6702318895505781,0.522295764483232,0.7127187312225396,0.5913817841432678
HINDUNILVR,0.5063089479625847,1.0,0.0742119082614088,0.087167683789645,0.5340909090909091,1.0,0.5274761967558702,0.0,0.5684701317540337
KOTAKBANK,0.5063089479625847,0.7509375627183478,0.0598257597712741,-0.4862517453574533,0.5340909090909091,0.7509375627183478,0.4252237271816913,0.6119632384250591,0.5673232673251258
TITAN,0.5063089479625847,0.6852433309449851,0.0627594512011068,-0.4653047160154102,0.5340909090909091,0.6852433309449851,0.44607553431232866,0.5896082025473803,0.5538019961393247
LT,0.5063089479625847,0.7659445028999137,0.050613747190411,-0.3300718748577606,0.5340909090909091,0.7659445028999137,0.35974747849792443,0.4452853505307509,0.5264304445812411
RELIANCE,0.5063089479625847,0.6852433309449851,0.0409053846974456,-0.5733294764862733,0.5340909090909091,0.6852433309449851,0.2907433220965227,0.7048941152451211,0.524495219379244
DRREDDY,0.5063089479625847,0.7579867154428723,0.0516044007031634,-0.2449280363197605,0.5340909090909091,0.7579867154428723,0.3667887493593181,0.354418357688957,0.5129233300491298
JIOFIN,0.4979170927907162,0.7418050504418305,0.1406924307065102,0.0,0.0,0.7418050504418305,1.0,0.093026875872109,0.499405293991274
CIPLA,0.5063089479625847,0.6852433309449851,0.0429415172470009,-0.3806262786567539,0.5340909090909091,0.6852433309449851,0.30521554735647827,0.49923789397961216,0.4979884537674043
BAJAJFINSV,0.5063089479625847,0.7304632414224526,0.027386738791166,-0.511399048764212,0.5340909090909091,0.7304632414224526,0.19465680316729894,0.6388008802073535,0.49706025606417853
GRASIM,0.5063089479625847,0.6439837413704408,0.0504948314168526,-0.3203883772903738,0.5340909090909091,0.6439837413704408,0.35890226050743806,0.4349509526547781,0.494136529120331
JSWSTEEL,0.5063089479625847,0.7659445028999137,0.0452915441025979,-0.1010770649668937,0.5340909090909091,0.7659445028999137,0.3219188400908205,0.20089808647905316,0.4784237634513553
INFY,0.5063089479625847,0.5220126301782377,0.0517510538375722,-0.3863892477819529,0.5340909090909091,0.5220126301782377,0.36783111627040466,0.5053882353694148,0.4768880004583657
ULTRACEMCO,0.5063089479625847,0.6144008829447525,0.0427046906005402,-0.3053039944543202,0.5340909090909091,0.6144008829447525,0.3035322539108292,0.4188526356100889,0.46771506497822296
TATACONSUM,0.5063089479625847,0.7595447179864847,0.0438865304154783,0.0,0.5340909090909091,0.7595447179864847,0.3119324202097786,0.093026875872109,0.45764720966764383
TRENT,0.5063089479625847,0.6330161068849309,0.0564372823189984,0.0,0.5340909090909091,0.6330161068849309,0.4011394361131534,0.093026875872109,0.4527771616632678
SBIN,0.5063089479625847,0.6330161068849309,0.025285575722922,-0.4024758130867523,0.5340909090909091,0.6330161068849309,0.17972236030002697,0.5225560990633669,0.45078142239801855
